latitude,longitude,polarity
51.540894,-0.14462,0.425
51.541844,-0.144549,0.8
51.541741,-0.145634,0.2774242424242424
51.541213,-0.145167,0.65
51.54123,-0.145984,0.75
51.539464,-0.142892,0.4074074074074074
51.541624,-0.142221,0.5762276785714286
51.542825,-0.142167,0.1
51.543886,-0.152918,0.3376984126984126
51.539368,-0.142961,0.550564236111111
51.54143,-0.145944,0.0
51.541791,-0.145847,0.0
51.541488,-0.145513,0.0
51.543472,-0.14485,0.0
51.541605,-0.14542,0.2166666666666666
51.542825,-0.142167,0.5
51.543472,-0.14485,0.3751736111111111
51.541395,-0.145506,0.4051948051948052
51.540036,-0.143551,1.0
51.538921,-0.142714,0.8
51.543005,-0.147832,1.0
51.54137,-0.142039,0.265
51.540822,-0.146506,0.8
51.540752,-0.146389,0.3928571428571428
51.541737,-0.144935,1.0
51.54147,-0.145568,0.685
51.539208,-0.14279,0.0535416666666666
51.543472,-0.14485,0.2180555555555555
51.543472,-0.14485,0.1703409090909091
51.541924,-0.143805,0.2111528822055138
51.540444,-0.148427,0.2499999999999999
51.535231,-0.124561,0.4919404761904762
51.542658,-0.14456,0.390625
51.541223,-0.145108,0.2765507866117622
51.542362,-0.146083,0.559375
51.539892,-0.15016,0.4958791208791208
51.539235,-0.142393,0.0
51.53938,-0.142974,0.0
51.541917,-0.142028,0.4954545454545455
51.542363,-0.146237,0.4414322916666666
51.541008,-0.144612,0.3923924935741341
51.539953,-0.143498,0.3055769230769231
51.541361,-0.145118,0.6528089348063258
51.542571,-0.13956,0.25234375
51.540249,-0.14338,0.2741666666666666
51.543098,-0.149077,0.568421052631579
51.541384,-0.145225,0.1244444444444444
51.539448,-0.142747,0.0
51.54128,-0.14501,0.3492918719211822
51.541424,-0.141685,0.553968253968254
51.535998,-0.139625,0.2517460317460317
51.542466,-0.146495,0.8
51.541257,-0.14486,0.6552083333333334
51.538961,-0.142516,0.3824094742063492
51.543488,-0.147506,0.1253000484813344
51.539872,-0.143415,0.2333333333333333
51.541252,-0.145043,0.222703823953824
51.542427,-0.148467,0.675
51.541252,-0.145043,0.1698371813371813
51.541424,-0.145139,0.55
51.54115,-0.145719,0.353125
51.540283,-0.143347,0.1625
51.54079,-0.144249,0.0
51.54113,-0.142736,0.2666666666666666
51.538732,-0.14082,0.5616477272727273
51.540142,-0.143594,0.4289583333333333
51.539372,-0.142656,0.148076923076923
51.539699,-0.143229,0.5118810876623376
51.541424,-0.145204,0.2004265376441369
51.542578,-0.142017,0.6714149122034294
51.530099,-0.123746,1.0
51.538963,-0.14242,0.0
51.542983,-0.14777,0.4079081853230794
51.541984,-0.146169,0.375
51.543047,-0.147734,0.5128977926153886
51.539315,-0.142648,0.0
51.540863,-0.146059,0.6145833333333334
51.542444,-0.146445,0.85
51.539822,-0.141878,0.6085995087247229
51.540937,-0.143884,0.3771137716450216
51.541461,-0.145628,0.3541666666666667
51.542608,-0.147242,0.3659071180555555
51.538621,-0.14398,1.0
51.542452,-0.146428,0.3073925781250001
51.540378,-0.14589,0.4063492063492063
51.540943,-0.144259,0.1583333333333333
51.541839,-0.139111,0.7194444444444444
51.544738,-0.148512,0.0
51.544108,-0.1422,0.403125
51.541839,-0.139111,0.4171737938596491
51.542845,-0.147929,0.205484693877551
51.542436,-0.146378,0.7375
51.539352,-0.1425,0.6535714285714286
51.540002,-0.143669,0.5671496212121212
51.537533,-0.13765,0.0333333333333333
51.539552,-0.144388,0.625
51.542319,-0.148448,0.0589285714285714
51.539712,-0.144066,0.0664718614718614
51.541944,-0.145431,0.2333333333333333
51.540876,-0.144367,0.4178571428571428
